"CasesOfFailures","SystemState1","failReasons1","SystemState2","failReasons2","LEGAL_TASK"
"2_Failures_on_different_machines","running_backup","software","idle","hardware","true"
"2_Failures_on_different_machines","running_backup","software","idle","software","true"
"2_Failures_on_different_machines","running_backup","software","running","hardware","true"
"2_Failures_on_different_machines","running_backup","software","running","software","true"
"2_Failures_on_different_machines","running_backup","software","runingBackup","hardware","true"
"2_Failures_on_different_machines","running_backup","software","runingBackup","software","true"
"2_Failures_on_different_machines","running_backup","software","runingBackup","backup","true"
"2_Failures_on_different_machines","running_backup","backup","idle","hardware","true"
"2_Failures_on_different_machines","running_backup","backup","idle","software","true"
"2_Failures_on_different_machines","running_backup","backup","running","hardware","true"
"2_Failures_on_different_machines","running_backup","backup","running","software","true"
"2_Failures_on_different_machines","running_backup","backup","runingBackup","hardware","true"
"2_Failures_on_different_machines","running_backup","backup","runingBackup","software","true"
"2_Failures_on_different_machines","running_backup","backup","runingBackup","backup","true"
"2_Failures_on_the_same_machine","idle","hardware","N/A","hardware","true"
"2_Failures_on_the_same_machine","idle","hardware","N/A","software","true"
"2_Failures_on_the_same_machine","idle","hardware","N/A","backup","true"
"2_Failures_on_the_same_machine","idle","software","N/A","hardware","true"
"2_Failures_on_the_same_machine","idle","software","N/A","software","true"
"2_Failures_on_the_same_machine","idle","software","N/A","backup","true"
"2_Failures_on_the_same_machine","running","hardware","N/A","hardware","true"
"2_Failures_on_the_same_machine","running","hardware","N/A","software","true"
"2_Failures_on_the_same_machine","running","hardware","N/A","backup","true"
"2_Failures_on_the_same_machine","running","software","N/A","hardware","true"
"2_Failures_on_the_same_machine","running","software","N/A","software","true"
"2_Failures_on_the_same_machine","running","software","N/A","backup","true"
"2_Failures_on_the_same_machine","running_backup","hardware","N/A","hardware","true"
"2_Failures_on_the_same_machine","running_backup","hardware","N/A","software","true"
"2_Failures_on_the_same_machine","running_backup","hardware","N/A","backup","true"
"2_Failures_on_the_same_machine","running_backup","software","N/A","hardware","true"
"2_Failures_on_the_same_machine","running_backup","software","N/A","software","true"
"2_Failures_on_the_same_machine","running_backup","software","N/A","backup","true"
"2_Failures_on_the_same_machine","running_backup","backup","N/A","hardware","true"
"2_Failures_on_the_same_machine","running_backup","backup","N/A","software","true"
"2_Failures_on_the_same_machine","running_backup","backup","N/A","backup","true"
"None","idle","hardware","idle","hardware","false"
"None","idle","hardware","idle","software","false"
"None","idle","hardware","idle","backup","false"
"None","idle","hardware","idle","N/A","false"
"None","idle","hardware","running","hardware","false"
"None","idle","hardware","running","software","false"
"None","idle","hardware","running","backup","false"
"None","idle","hardware","running","N/A","false"
"None","idle","hardware","runingBackup","hardware","false"
"None","idle","hardware","runingBackup","software","false"
"None","idle","hardware","runingBackup","backup","false"
"None","idle","hardware","runingBackup","N/A","false"
"None","idle","hardware","N/A","hardware","false"
"None","idle","hardware","N/A","software","false"
"None","idle","hardware","N/A","backup","false"
"None","idle","hardware","N/A","N/A","false"
"None","idle","software","idle","hardware","false"
"None","idle","software","idle","software","false"
"None","idle","software","idle","backup","false"
"None","idle","software","idle","N/A","false"
"None","idle","software","running","hardware","false"
"None","idle","software","running","software","false"
"None","idle","software","running","backup","false"
"None","idle","software","running","N/A","false"
"None","idle","software","runingBackup","hardware","false"
"None","idle","software","runingBackup","software","false"
"None","idle","software","runingBackup","backup","false"
"None","idle","software","runingBackup","N/A","false"
"None","idle","software","N/A","hardware","false"
"None","idle","software","N/A","software","false"
"None","idle","software","N/A","backup","false"
"None","idle","software","N/A","N/A","false"
"None","idle","backup","idle","hardware","false"
"None","idle","backup","idle","software","false"
"None","idle","backup","idle","backup","false"
"None","idle","backup","idle","N/A","false"
"None","idle","backup","running","hardware","false"
"None","idle","backup","running","software","false"
"None","idle","backup","running","backup","false"
"None","idle","backup","running","N/A","false"
"None","idle","backup","runingBackup","hardware","false"
"None","idle","backup","runingBackup","software","false"
"None","idle","backup","runingBackup","backup","false"
"None","idle","backup","runingBackup","N/A","false"
"None","idle","backup","N/A","hardware","false"
"None","idle","backup","N/A","software","false"
"None","idle","backup","N/A","backup","false"
"None","idle","backup","N/A","N/A","false"
"None","idle","N/A","idle","hardware","false"
"None","idle","N/A","idle","software","false"
"None","idle","N/A","idle","backup","false"
"None","idle","N/A","idle","N/A","false"
"None","idle","N/A","running","hardware","false"
"None","idle","N/A","running","software","false"
"None","idle","N/A","running","backup","false"
"None","idle","N/A","running","N/A","false"
"None","idle","N/A","runingBackup","hardware","false"
"None","idle","N/A","runingBackup","software","false"
"None","idle","N/A","runingBackup","backup","false"
"None","idle","N/A","runingBackup","N/A","false"
"None","idle","N/A","N/A","hardware","false"
"None","idle","N/A","N/A","software","false"
"None","idle","N/A","N/A","backup","false"
"None","running","hardware","idle","hardware","false"
"None","running","hardware","idle","software","false"
"None","running","hardware","idle","backup","false"
"None","running","hardware","idle","N/A","false"
"None","running","hardware","running","hardware","false"
"None","running","hardware","running","software","false"
"None","running","hardware","running","backup","false"
"None","running","hardware","running","N/A","false"
"None","running","hardware","runingBackup","hardware","false"
"None","running","hardware","runingBackup","software","false"
"None","running","hardware","runingBackup","backup","false"
"None","running","hardware","runingBackup","N/A","false"
"None","running","hardware","N/A","hardware","false"
"None","running","hardware","N/A","software","false"
"None","running","hardware","N/A","backup","false"
"None","running","hardware","N/A","N/A","false"
"None","running","software","idle","hardware","false"
"None","running","software","idle","software","false"
"None","running","software","idle","backup","false"
"None","running","software","idle","N/A","false"
"None","running","software","running","hardware","false"
"None","running","software","running","software","false"
"None","running","software","running","backup","false"
"None","running","software","running","N/A","false"
"None","running","software","runingBackup","hardware","false"
"None","running","software","runingBackup","software","false"
"None","running","software","runingBackup","backup","false"
"None","running","software","runingBackup","N/A","false"
"None","running","software","N/A","hardware","false"
"None","running","software","N/A","software","false"
"None","running","software","N/A","backup","false"
"None","running","software","N/A","N/A","false"
"None","running","backup","idle","hardware","false"
"None","running","backup","idle","software","false"
"None","running","backup","idle","backup","false"
"None","running","backup","idle","N/A","false"
"None","running","backup","running","hardware","false"
"None","running","backup","running","software","false"
"None","running","backup","running","backup","false"
"None","running","backup","running","N/A","false"
"None","running","backup","runingBackup","hardware","false"
"None","running","backup","runingBackup","software","false"
"None","running","backup","runingBackup","backup","false"
"None","running","backup","runingBackup","N/A","false"
"None","running","backup","N/A","hardware","false"
"None","running","backup","N/A","software","false"
"None","running","backup","N/A","backup","false"
"None","running","backup","N/A","N/A","false"
"None","running","N/A","idle","hardware","false"
"None","running","N/A","idle","software","false"
"None","running","N/A","idle","backup","false"
"None","running","N/A","idle","N/A","false"
"None","running","N/A","running","hardware","false"
"None","running","N/A","running","software","false"
"None","running","N/A","running","backup","false"
"None","running","N/A","running","N/A","false"
"None","running","N/A","runingBackup","hardware","false"
"None","running","N/A","runingBackup","software","false"
"None","running","N/A","runingBackup","backup","false"
"None","running","N/A","runingBackup","N/A","false"
"None","running","N/A","N/A","hardware","false"
"None","running","N/A","N/A","software","false"
"None","running","N/A","N/A","backup","false"
"None","running_backup","hardware","idle","hardware","false"
"None","running_backup","hardware","idle","software","false"
"None","running_backup","hardware","idle","backup","false"
"None","running_backup","hardware","idle","N/A","false"
"None","running_backup","hardware","running","hardware","false"
"None","running_backup","hardware","running","software","false"
"None","running_backup","hardware","running","backup","false"
"None","running_backup","hardware","running","N/A","false"
"None","running_backup","hardware","runingBackup","hardware","false"
"None","running_backup","hardware","runingBackup","software","false"
"None","running_backup","hardware","runingBackup","backup","false"
"None","running_backup","hardware","runingBackup","N/A","false"
"None","running_backup","hardware","N/A","hardware","false"
"None","running_backup","hardware","N/A","software","false"
"None","running_backup","hardware","N/A","backup","false"
"None","running_backup","hardware","N/A","N/A","false"
"None","running_backup","software","idle","hardware","false"
"None","running_backup","software","idle","software","false"
"None","running_backup","software","idle","backup","false"
"None","running_backup","software","idle","N/A","false"
"None","running_backup","software","running","hardware","false"
"None","running_backup","software","running","software","false"
"None","running_backup","software","running","backup","false"
"None","running_backup","software","running","N/A","false"
"None","running_backup","software","runingBackup","hardware","false"
"None","running_backup","software","runingBackup","software","false"
"None","running_backup","software","runingBackup","backup","false"
"None","running_backup","software","runingBackup","N/A","false"
"None","running_backup","software","N/A","hardware","false"
"None","running_backup","software","N/A","software","false"
"None","running_backup","software","N/A","backup","false"
"None","running_backup","software","N/A","N/A","false"
"None","running_backup","backup","idle","hardware","false"
"None","running_backup","backup","idle","software","false"
"None","running_backup","backup","idle","backup","false"
"None","running_backup","backup","idle","N/A","false"
"None","running_backup","backup","running","hardware","false"
"None","running_backup","backup","running","software","false"
"None","running_backup","backup","running","backup","false"
"None","running_backup","backup","running","N/A","false"
"None","running_backup","backup","runingBackup","hardware","false"
"None","running_backup","backup","runingBackup","software","false"
"None","running_backup","backup","runingBackup","backup","false"
"None","running_backup","backup","runingBackup","N/A","false"
"None","running_backup","backup","N/A","hardware","false"
"None","running_backup","backup","N/A","software","false"
"None","running_backup","backup","N/A","backup","false"
"None","running_backup","backup","N/A","N/A","false"
"None","running_backup","N/A","idle","hardware","false"
"None","running_backup","N/A","idle","software","false"
"None","running_backup","N/A","idle","backup","false"
"None","running_backup","N/A","idle","N/A","false"
"None","running_backup","N/A","running","hardware","false"
"None","running_backup","N/A","running","software","false"
"None","running_backup","N/A","running","backup","false"
"None","running_backup","N/A","running","N/A","false"
"None","running_backup","N/A","runingBackup","hardware","false"
"None","running_backup","N/A","runingBackup","software","false"
"None","running_backup","N/A","runingBackup","backup","false"
"None","running_backup","N/A","runingBackup","N/A","false"
"None","running_backup","N/A","N/A","hardware","false"
"None","running_backup","N/A","N/A","software","false"
"None","running_backup","N/A","N/A","backup","false"
"1_Failure_on_one_machine","idle","hardware","idle","hardware","false"
"1_Failure_on_one_machine","idle","hardware","idle","software","false"
"1_Failure_on_one_machine","idle","hardware","idle","backup","false"
"1_Failure_on_one_machine","idle","hardware","idle","N/A","false"
"1_Failure_on_one_machine","idle","hardware","running","hardware","false"
"1_Failure_on_one_machine","idle","hardware","running","software","false"
"1_Failure_on_one_machine","idle","hardware","running","backup","false"
"1_Failure_on_one_machine","idle","hardware","running","N/A","false"
"1_Failure_on_one_machine","idle","hardware","runingBackup","hardware","false"
"1_Failure_on_one_machine","idle","hardware","runingBackup","software","false"
"1_Failure_on_one_machine","idle","hardware","runingBackup","backup","false"
"1_Failure_on_one_machine","idle","hardware","runingBackup","N/A","false"
"1_Failure_on_one_machine","idle","hardware","N/A","hardware","false"
"1_Failure_on_one_machine","idle","hardware","N/A","software","false"
"1_Failure_on_one_machine","idle","hardware","N/A","backup","false"
"1_Failure_on_one_machine","idle","software","idle","hardware","false"
"1_Failure_on_one_machine","idle","software","idle","software","false"
"1_Failure_on_one_machine","idle","software","idle","backup","false"
"1_Failure_on_one_machine","idle","software","idle","N/A","false"
"1_Failure_on_one_machine","idle","software","running","hardware","false"
"1_Failure_on_one_machine","idle","software","running","software","false"
"1_Failure_on_one_machine","idle","software","running","backup","false"
"1_Failure_on_one_machine","idle","software","running","N/A","false"
"1_Failure_on_one_machine","idle","software","runingBackup","hardware","false"
"1_Failure_on_one_machine","idle","software","runingBackup","software","false"
"1_Failure_on_one_machine","idle","software","runingBackup","backup","false"
"1_Failure_on_one_machine","idle","software","runingBackup","N/A","false"
"1_Failure_on_one_machine","idle","software","N/A","hardware","false"
"1_Failure_on_one_machine","idle","software","N/A","software","false"
"1_Failure_on_one_machine","idle","software","N/A","backup","false"
"1_Failure_on_one_machine","idle","backup","idle","hardware","false"
"1_Failure_on_one_machine","idle","backup","idle","software","false"
"1_Failure_on_one_machine","idle","backup","idle","backup","false"
"1_Failure_on_one_machine","idle","backup","idle","N/A","false"
"1_Failure_on_one_machine","idle","backup","running","hardware","false"
"1_Failure_on_one_machine","idle","backup","running","software","false"
"1_Failure_on_one_machine","idle","backup","running","backup","false"
"1_Failure_on_one_machine","idle","backup","running","N/A","false"
"1_Failure_on_one_machine","idle","backup","runingBackup","hardware","false"
"1_Failure_on_one_machine","idle","backup","runingBackup","software","false"
"1_Failure_on_one_machine","idle","backup","runingBackup","backup","false"
"1_Failure_on_one_machine","idle","backup","runingBackup","N/A","false"
"1_Failure_on_one_machine","idle","backup","N/A","hardware","false"
"1_Failure_on_one_machine","idle","backup","N/A","software","false"
"1_Failure_on_one_machine","idle","backup","N/A","backup","false"
"1_Failure_on_one_machine","idle","backup","N/A","N/A","false"
"1_Failure_on_one_machine","idle","N/A","idle","hardware","false"
"1_Failure_on_one_machine","idle","N/A","idle","software","false"
"1_Failure_on_one_machine","idle","N/A","idle","backup","false"
"1_Failure_on_one_machine","idle","N/A","idle","N/A","false"
"1_Failure_on_one_machine","idle","N/A","running","hardware","false"
"1_Failure_on_one_machine","idle","N/A","running","software","false"
"1_Failure_on_one_machine","idle","N/A","running","backup","false"
"1_Failure_on_one_machine","idle","N/A","running","N/A","false"
"1_Failure_on_one_machine","idle","N/A","runingBackup","hardware","false"
"1_Failure_on_one_machine","idle","N/A","runingBackup","software","false"
"1_Failure_on_one_machine","idle","N/A","runingBackup","backup","false"
"1_Failure_on_one_machine","idle","N/A","runingBackup","N/A","false"
"1_Failure_on_one_machine","idle","N/A","N/A","hardware","false"
"1_Failure_on_one_machine","idle","N/A","N/A","software","false"
"1_Failure_on_one_machine","idle","N/A","N/A","backup","false"
"1_Failure_on_one_machine","idle","N/A","N/A","N/A","false"
"1_Failure_on_one_machine","running","hardware","idle","hardware","false"
"1_Failure_on_one_machine","running","hardware","idle","software","false"
"1_Failure_on_one_machine","running","hardware","idle","backup","false"
"1_Failure_on_one_machine","running","hardware","idle","N/A","false"
"1_Failure_on_one_machine","running","hardware","running","hardware","false"
"1_Failure_on_one_machine","running","hardware","running","software","false"
"1_Failure_on_one_machine","running","hardware","running","backup","false"
"1_Failure_on_one_machine","running","hardware","running","N/A","false"
"1_Failure_on_one_machine","running","hardware","runingBackup","hardware","false"
"1_Failure_on_one_machine","running","hardware","runingBackup","software","false"
"1_Failure_on_one_machine","running","hardware","runingBackup","backup","false"
"1_Failure_on_one_machine","running","hardware","runingBackup","N/A","false"
"1_Failure_on_one_machine","running","hardware","N/A","hardware","false"
"1_Failure_on_one_machine","running","hardware","N/A","software","false"
"1_Failure_on_one_machine","running","hardware","N/A","backup","false"
"1_Failure_on_one_machine","running","software","idle","hardware","false"
"1_Failure_on_one_machine","running","software","idle","software","false"
"1_Failure_on_one_machine","running","software","idle","backup","false"
"1_Failure_on_one_machine","running","software","idle","N/A","false"
"1_Failure_on_one_machine","running","software","running","hardware","false"
"1_Failure_on_one_machine","running","software","running","software","false"
"1_Failure_on_one_machine","running","software","running","backup","false"
"1_Failure_on_one_machine","running","software","running","N/A","false"
"1_Failure_on_one_machine","running","software","runingBackup","hardware","false"
"1_Failure_on_one_machine","running","software","runingBackup","software","false"
"1_Failure_on_one_machine","running","software","runingBackup","backup","false"
"1_Failure_on_one_machine","running","software","runingBackup","N/A","false"
"1_Failure_on_one_machine","running","software","N/A","hardware","false"
"1_Failure_on_one_machine","running","software","N/A","software","false"
"1_Failure_on_one_machine","running","software","N/A","backup","false"
"1_Failure_on_one_machine","running","backup","idle","hardware","false"
"1_Failure_on_one_machine","running","backup","idle","software","false"
"1_Failure_on_one_machine","running","backup","idle","backup","false"
"1_Failure_on_one_machine","running","backup","idle","N/A","false"
"1_Failure_on_one_machine","running","backup","running","hardware","false"
"1_Failure_on_one_machine","running","backup","running","software","false"
"1_Failure_on_one_machine","running","backup","running","backup","false"
"1_Failure_on_one_machine","running","backup","running","N/A","false"
"1_Failure_on_one_machine","running","backup","runingBackup","hardware","false"
"1_Failure_on_one_machine","running","backup","runingBackup","software","false"
"1_Failure_on_one_machine","running","backup","runingBackup","backup","false"
"1_Failure_on_one_machine","running","backup","runingBackup","N/A","false"
"1_Failure_on_one_machine","running","backup","N/A","hardware","false"
"1_Failure_on_one_machine","running","backup","N/A","software","false"
"1_Failure_on_one_machine","running","backup","N/A","backup","false"
"1_Failure_on_one_machine","running","backup","N/A","N/A","false"
"1_Failure_on_one_machine","running","N/A","idle","hardware","false"
"1_Failure_on_one_machine","running","N/A","idle","software","false"
"1_Failure_on_one_machine","running","N/A","idle","backup","false"
"1_Failure_on_one_machine","running","N/A","idle","N/A","false"
"1_Failure_on_one_machine","running","N/A","running","hardware","false"
"1_Failure_on_one_machine","running","N/A","running","software","false"
"1_Failure_on_one_machine","running","N/A","running","backup","false"
"1_Failure_on_one_machine","running","N/A","running","N/A","false"
"1_Failure_on_one_machine","running","N/A","runingBackup","hardware","false"
"1_Failure_on_one_machine","running","N/A","runingBackup","software","false"
"1_Failure_on_one_machine","running","N/A","runingBackup","backup","false"
"1_Failure_on_one_machine","running","N/A","runingBackup","N/A","false"
"1_Failure_on_one_machine","running","N/A","N/A","hardware","false"
"1_Failure_on_one_machine","running","N/A","N/A","software","false"
"1_Failure_on_one_machine","running","N/A","N/A","backup","false"
"1_Failure_on_one_machine","running","N/A","N/A","N/A","false"
"1_Failure_on_one_machine","running_backup","hardware","idle","hardware","false"
"1_Failure_on_one_machine","running_backup","hardware","idle","software","false"
"1_Failure_on_one_machine","running_backup","hardware","idle","backup","false"
"1_Failure_on_one_machine","running_backup","hardware","idle","N/A","false"
"1_Failure_on_one_machine","running_backup","hardware","running","hardware","false"
"1_Failure_on_one_machine","running_backup","hardware","running","software","false"
"1_Failure_on_one_machine","running_backup","hardware","running","backup","false"
"1_Failure_on_one_machine","running_backup","hardware","running","N/A","false"
"1_Failure_on_one_machine","running_backup","hardware","runingBackup","hardware","false"
"1_Failure_on_one_machine","running_backup","hardware","runingBackup","software","false"
"1_Failure_on_one_machine","running_backup","hardware","runingBackup","backup","false"
"1_Failure_on_one_machine","running_backup","hardware","runingBackup","N/A","false"
"1_Failure_on_one_machine","running_backup","hardware","N/A","hardware","false"
"1_Failure_on_one_machine","running_backup","hardware","N/A","software","false"
"1_Failure_on_one_machine","running_backup","hardware","N/A","backup","false"
"1_Failure_on_one_machine","running_backup","software","idle","hardware","false"
"1_Failure_on_one_machine","running_backup","software","idle","software","false"
"1_Failure_on_one_machine","running_backup","software","idle","backup","false"
"1_Failure_on_one_machine","running_backup","software","idle","N/A","false"
"1_Failure_on_one_machine","running_backup","software","running","hardware","false"
"1_Failure_on_one_machine","running_backup","software","running","software","false"
"1_Failure_on_one_machine","running_backup","software","running","backup","false"
"1_Failure_on_one_machine","running_backup","software","running","N/A","false"
"1_Failure_on_one_machine","running_backup","software","runingBackup","hardware","false"
"1_Failure_on_one_machine","running_backup","software","runingBackup","software","false"
"1_Failure_on_one_machine","running_backup","software","runingBackup","backup","false"
"1_Failure_on_one_machine","running_backup","software","runingBackup","N/A","false"
"1_Failure_on_one_machine","running_backup","software","N/A","hardware","false"
"1_Failure_on_one_machine","running_backup","software","N/A","software","false"
"1_Failure_on_one_machine","running_backup","software","N/A","backup","false"
"1_Failure_on_one_machine","running_backup","backup","idle","hardware","false"
"1_Failure_on_one_machine","running_backup","backup","idle","software","false"
"1_Failure_on_one_machine","running_backup","backup","idle","backup","false"
"1_Failure_on_one_machine","running_backup","backup","idle","N/A","false"
"1_Failure_on_one_machine","running_backup","backup","running","hardware","false"
"1_Failure_on_one_machine","running_backup","backup","running","software","false"
"1_Failure_on_one_machine","running_backup","backup","running","backup","false"
"1_Failure_on_one_machine","running_backup","backup","running","N/A","false"
"1_Failure_on_one_machine","running_backup","backup","runingBackup","hardware","false"
"1_Failure_on_one_machine","running_backup","backup","runingBackup","software","false"
"1_Failure_on_one_machine","running_backup","backup","runingBackup","backup","false"
"1_Failure_on_one_machine","running_backup","backup","runingBackup","N/A","false"
"1_Failure_on_one_machine","running_backup","backup","N/A","hardware","false"
"1_Failure_on_one_machine","running_backup","backup","N/A","software","false"
"1_Failure_on_one_machine","running_backup","backup","N/A","backup","false"
"1_Failure_on_one_machine","running_backup","N/A","idle","hardware","false"
"1_Failure_on_one_machine","running_backup","N/A","idle","software","false"
"1_Failure_on_one_machine","running_backup","N/A","idle","backup","false"
"1_Failure_on_one_machine","running_backup","N/A","idle","N/A","false"
"1_Failure_on_one_machine","running_backup","N/A","running","hardware","false"
"1_Failure_on_one_machine","running_backup","N/A","running","software","false"
"1_Failure_on_one_machine","running_backup","N/A","running","backup","false"
"1_Failure_on_one_machine","running_backup","N/A","running","N/A","false"
"1_Failure_on_one_machine","running_backup","N/A","runingBackup","hardware","false"
"1_Failure_on_one_machine","running_backup","N/A","runingBackup","software","false"
"1_Failure_on_one_machine","running_backup","N/A","runingBackup","backup","false"
"1_Failure_on_one_machine","running_backup","N/A","runingBackup","N/A","false"
"1_Failure_on_one_machine","running_backup","N/A","N/A","hardware","false"
"1_Failure_on_one_machine","running_backup","N/A","N/A","software","false"
"1_Failure_on_one_machine","running_backup","N/A","N/A","backup","false"
"1_Failure_on_one_machine","running_backup","N/A","N/A","N/A","false"
"2_Failures_on_different_machines","idle","hardware","idle","backup","false"
"2_Failures_on_different_machines","idle","hardware","idle","N/A","false"
"2_Failures_on_different_machines","idle","hardware","running","backup","false"
"2_Failures_on_different_machines","idle","hardware","running","N/A","false"
"2_Failures_on_different_machines","idle","hardware","runingBackup","N/A","false"
"2_Failures_on_different_machines","idle","hardware","N/A","hardware","false"
"2_Failures_on_different_machines","idle","hardware","N/A","software","false"
"2_Failures_on_different_machines","idle","hardware","N/A","backup","false"
"2_Failures_on_different_machines","idle","hardware","N/A","N/A","false"
"2_Failures_on_different_machines","idle","software","idle","backup","false"
"2_Failures_on_different_machines","idle","software","idle","N/A","false"
"2_Failures_on_different_machines","idle","software","running","backup","false"
"2_Failures_on_different_machines","idle","software","running","N/A","false"
"2_Failures_on_different_machines","idle","software","runingBackup","N/A","false"
"2_Failures_on_different_machines","idle","software","N/A","hardware","false"
"2_Failures_on_different_machines","idle","software","N/A","software","false"
"2_Failures_on_different_machines","idle","software","N/A","backup","false"
"2_Failures_on_different_machines","idle","software","N/A","N/A","false"
"2_Failures_on_different_machines","idle","backup","idle","hardware","false"
"2_Failures_on_different_machines","idle","backup","idle","software","false"
"2_Failures_on_different_machines","idle","backup","idle","backup","false"
"2_Failures_on_different_machines","idle","backup","idle","N/A","false"
"2_Failures_on_different_machines","idle","backup","running","hardware","false"
"2_Failures_on_different_machines","idle","backup","running","software","false"
"2_Failures_on_different_machines","idle","backup","running","backup","false"
"2_Failures_on_different_machines","idle","backup","running","N/A","false"
"2_Failures_on_different_machines","idle","backup","runingBackup","hardware","false"
"2_Failures_on_different_machines","idle","backup","runingBackup","software","false"
"2_Failures_on_different_machines","idle","backup","runingBackup","backup","false"
"2_Failures_on_different_machines","idle","backup","runingBackup","N/A","false"
"2_Failures_on_different_machines","idle","backup","N/A","hardware","false"
"2_Failures_on_different_machines","idle","backup","N/A","software","false"
"2_Failures_on_different_machines","idle","backup","N/A","backup","false"
"2_Failures_on_different_machines","idle","backup","N/A","N/A","false"
"2_Failures_on_different_machines","idle","N/A","idle","hardware","false"
"2_Failures_on_different_machines","idle","N/A","idle","software","false"
"2_Failures_on_different_machines","idle","N/A","idle","backup","false"
"2_Failures_on_different_machines","idle","N/A","idle","N/A","false"
"2_Failures_on_different_machines","idle","N/A","running","hardware","false"
"2_Failures_on_different_machines","idle","N/A","running","software","false"
"2_Failures_on_different_machines","idle","N/A","running","backup","false"
"2_Failures_on_different_machines","idle","N/A","running","N/A","false"
"2_Failures_on_different_machines","idle","N/A","runingBackup","hardware","false"
"2_Failures_on_different_machines","idle","N/A","runingBackup","software","false"
"2_Failures_on_different_machines","idle","N/A","runingBackup","backup","false"
"2_Failures_on_different_machines","idle","N/A","runingBackup","N/A","false"
"2_Failures_on_different_machines","idle","N/A","N/A","hardware","false"
"2_Failures_on_different_machines","idle","N/A","N/A","software","false"
"2_Failures_on_different_machines","idle","N/A","N/A","backup","false"
"2_Failures_on_different_machines","idle","N/A","N/A","N/A","false"
"2_Failures_on_different_machines","running","hardware","idle","backup","false"
"2_Failures_on_different_machines","running","hardware","idle","N/A","false"
"2_Failures_on_different_machines","running","hardware","running","backup","false"
"2_Failures_on_different_machines","running","hardware","running","N/A","false"
"2_Failures_on_different_machines","running","hardware","runingBackup","N/A","false"
"2_Failures_on_different_machines","running","hardware","N/A","hardware","false"
"2_Failures_on_different_machines","running","hardware","N/A","software","false"
"2_Failures_on_different_machines","running","hardware","N/A","backup","false"
"2_Failures_on_different_machines","running","hardware","N/A","N/A","false"
"2_Failures_on_different_machines","running","software","idle","backup","false"
"2_Failures_on_different_machines","running","software","idle","N/A","false"
"2_Failures_on_different_machines","running","software","running","backup","false"
"2_Failures_on_different_machines","running","software","running","N/A","false"
"2_Failures_on_different_machines","running","software","runingBackup","N/A","false"
"2_Failures_on_different_machines","running","software","N/A","hardware","false"
"2_Failures_on_different_machines","running","software","N/A","software","false"
"2_Failures_on_different_machines","running","software","N/A","backup","false"
"2_Failures_on_different_machines","running","software","N/A","N/A","false"
"2_Failures_on_different_machines","running","backup","idle","hardware","false"
